"ID","SOURCE","TARGET","WEIGHT"
1,13,7,2
2,14,7,2
3,15,7,2
4,16,7,2
5,17,7,2
6,18,7,2
7,19,7,2
8,20,7,2
9,21,7,2
10,22,7,2
11,23,13,3
12,24,13,3
13,25,14,3
14,26,15,3
15,27,16,3
16,28,16,3
17,29,17,3
18,30,18,3
19,31,19,3
20,32,20,3
21,33,21,3
22,34,22,3
23,7,35,3
24,35,1,1
25,36,1,4
26,23,37,2
27,24,37,2
28,25,38,2
29,26,39,2
30,27,40,2
31,28,41,2
32,29,37,2
33,30,42,2
34,31,43,2
35,32,44,2
36,33,45,2
37,34,41,2
38,46,1,3
39,48,47,4
40,36,47,4
41,48,45,2
42,36,45,2
49,49,47,3
50,50,47,3
51,51,47,3
52,52,47,3
53,53,47,3
55,55,47,3
56,56,47,3
58,58,47,3
59,59,47,3
60,60,47,3
61,61,47,3
62,62,47,3
63,63,47,3
64,64,47,3
65,65,47,3
66,66,47,3
67,67,47,3
68,36,68,4
69,36,69,4
70,48,68,4
71,49,69,4
72,53,69,4
73,48,69,4
74,67,69,4
75,53,70,4
76,55,70,4
77,58,70,4
78,60,70,4
79,72,71,4
80,56,71,4
81,60,71,4
82,59,71,4
83,68,47,2
84,69,47,2
85,70,47,2
86,71,47,2
87,61,73,4
88,61,74,3
89,36,74,3
90,36,75,4
91,78,75,4
92,79,75,4
93,80,75,3
94,81,75,3
95,82,75,3
96,83,75,3
97,84,75,1
98,85,75,1
99,86,76,4
100,75,76,2
101,76,77,2
102,84,87,4
103,83,87,3
104,78,35,3
105,89,88,2
106,90,88,2
107,91,88,2
108,92,88,2
109,93,88,4
110,94,88,4
111,95,88,4
112,96,88,4
113,97,88,4
114,81,88,4
115,98,88,3
116,99,88,3
117,100,88,3
118,101,88,3
119,102,88,3
120,103,88,3
121,104,88,3
122,105,88,3
123,106,88,3
124,107,88,2
125,108,88,2
126,109,88,2
127,110,88,2
128,111,88,2
129,112,88,2
130,113,88,2
131,114,88,2
132,115,88,2
133,116,88,2
134,117,88,2
135,118,88,2
136,119,88,2
137,34,88,2
138,121,88,2
139,100,122,3
140,102,122,3
141,94,122,3
142,96,123,3
143,98,124,3
144,101,125,3
145,105,126,3
146,109,127,3
147,110,128,3
148,111,129,3
149,113,130,3
150,113,131,3
151,118,132,3
152,119,126,3
153,121,133,3
154,134,10,2
155,135,10,2
156,136,10,2
157,137,10,2
158,138,10,2
159,139,10,2
160,140,10,2
161,141,10,2
162,142,10,2
163,143,10,2
164,144,10,2
165,145,10,2
166,146,10,2
167,28,139,4
253,81,190,4
169,85,141,4
170,147,139,4
171,148,139,4
172,149,140,4
173,150,140,4
174,151,140,4
175,24,141,4
176,152,141,4
177,153,141,4
178,154,141,4
179,149,142,4
180,150,142,4
181,151,142,4
182,155,142,4
183,156,143,4
184,156,144,4
185,157,144,4
186,156,145,4
187,158,145,4
188,159,146,4
189,160,146,4
190,167,122,3
191,156,134,4
192,161,134,4
193,162,134,4
194,28,135,4
195,163,135,4
196,156,136,4
197,164,136,4
198,165,137,4
199,166,137,4
200,167,137,4
201,165,138,4
202,166,138,4
203,167,138,4
204,166,122,3
205,158,168,3
206,162,169,3
207,165,122,3
208,156,10,4
209,28,10,4
210,78,10,4
211,10,170,3
212,10,171,3
213,10,172,3
214,10,173,3
215,10,6,3
216,174,40,2
217,175,40,2
218,174,173,4
219,175,173,4
220,28,6,4
221,175,6,4
222,174,6,4
223,176,6,4
224,177,6,4
225,52,6,4
226,179,6,4
227,52,40,2
228,180,6,3
229,181,6,3
230,182,6,3
231,183,6,3
232,184,6,3
233,185,6,3
234,186,6,3
235,187,6,3
236,174,180,4
237,52,181,4
238,175,182,4
239,179,183,4
240,188,184,4
241,177,185,4
242,176,186,4
243,188,187,4
244,189,4,5
245,189,41,2
246,81,4,4
247,190,4,1
248,191,8,3
249,192,40,2
250,192,9,4
251,174,9,4
252,175,9,3
254,87,190,2
255,193,198,3
256,194,198,3
257,195,197,3
258,196,197,3
259,193,197,3
